Link, Time, Name
<!DOCTYPE NETSCAPE-Bookmark-file-1>
<META HTTP-EQUIV="Content-Type" CONTENT="text/html; charset=UTF-8,
<TITLE>Bookmarks</TITLE>
<H1>Bookmarks</H1>
<DL><p>
<DT><H3 ADD_DATE="1486306431014001,Unlabeled</H3>
<DL><p>
http://maps.google.com/?q=Gardenia+Cir,+Hopewell+Junction,+NY+12533&amp;ftid=0x89dd441068d25e93:0xd084cfe3d2361d41,1500232707845001,Gardenia Cir, Hopewell Junction, NY 12533
http://maps.google.com/?cid=1468323073819263938,1496074574943001,Mediterranean Foods II
http://maps.google.com/?cid=726151591275143483,1491095252702001,Morton Williams
http://maps.google.com/?cid=14727617362032170331,1483394875221001,Columbus Circle
http://maps.google.com/?cid=17893227813204957567,1492367974028001,Soldiers’ and Sailors’ Monument
http://maps.google.com/?cid=12645605637491993583,1489951052539001,Darlington House
http://maps.google.com/?cid=11975561263734911667,1487624275719001,Omonia Cafe Next Door
http://maps.google.com/?cid=16021670854050475894,1494125547726001,Ace Bar
http://maps.google.com/?cid=14726130738472292026,1491091714783001,Union Square West
http://maps.google.com/?cid=16439811486105071832,1479757977280001,Two Lizards Mexican Bar &amp; Grill
http://maps.google.com/?cid=6638720427140070013,1498095288308001,Grand Cafe
http://maps.google.com/?cid=7874948438422664866,1487374033329001,Martin&#39;s Bar-B-Que Joint
http://maps.google.com/?cid=3030455916055131296,1494182349537001,MeltKraft at Turnstyle
http://maps.google.com/?cid=15807776936410947649,1493501346333001,Sutton Place Park
http://maps.google.com/?cid=9106689863996784802,1483629496780001,Chelsea Market
http://maps.google.com/?cid=6564026905462598442,1493252027384001,Oda House
http://maps.google.com/?cid=5651059147542917533,1487465194959001,J.Crew
http://maps.google.com/?cid=16172978518927595218,1491688745939001,Warby Parker
http://maps.google.com/?cid=17541516360761870548,1487373921111001,Centennial Park
http://maps.google.com/?cid=3193246265510082744,1494129202567001,The Third Man
http://maps.google.com/?cid=14285227776020412553,1500846702012001,Whitney Museum of American Art
http://maps.google.com/?cid=7849501560965955593,1500942546132001,The Market @ Mercedes House
http://maps.google.com/?cid=13799440545867136960,1479757847287001,Dim Sum Palace
http://maps.google.com/?cid=17886373099358208760,1483229540166001,Il Melograno
http://maps.google.com/?cid=5171944737705201929,1486326478049001,Saigon Shack
http://maps.google.com/?cid=12023242141128078842,1493585641528001,Grand Bazaar NYC
http://maps.google.com/?cid=2387990975313173226,1481764987404001,Tru Astoria
http://maps.google.com/?cid=7368719981248816281,1490149524294001,New York Dog House
http://maps.google.com/?cid=9995414167990777386,1487465712259001,Cracker Barrel Old Country Store
http://maps.google.com/?cid=7728731697438833865,1498522322228001,Astoria Park
http://maps.google.com/?cid=11557895473037377499,1497721261366001,Goldberg&#39;s Famous Deli &amp; Restaurant
http://maps.google.com/?cid=799291332495146996,1477919203911001,Brooklyn Fare
http://maps.google.com/?cid=8503596594302457949,1487124357696001,BASSO56
http://maps.google.com/?cid=15308249730686629738,1483629218607001,Fat Witch Bakery
http://maps.google.com/?cid=7355656657654789456,1490310986018001,Blue Ginger
http://maps.google.com/?cid=8067181684409144146,1482468288470001,Plataforma de las Águilas y los Jaguares
http://maps.google.com/?cid=17734294855815568449,1487465138104001,Urban Stack
http://maps.google.com/?cid=8849393263309413533,1494176360408001,The Vintage Twin
http://maps.google.com/?cid=7835604647526171354,1490832734378001,Thursday Kitchen
http://maps.google.com/?cid=7600515331973988996,1487373884219001,Courtyard by Marriott Nashville at Opryland
http://maps.google.com/?cid=13541386461940566804,1477064698195001,The Smith
http://maps.google.com/?cid=7913188309706581119,1498879808025001,The Village Underground
http://maps.google.com/?cid=6174977234231013848,1501347004719001,Walloomsac Farmers&#39; Market
http://maps.google.com/?cid=17132147318182089311,1493605332854001,Pizza Palace
http://maps.google.com/?cid=11615850702850452158,1493423075712001,Han Sushi
http://maps.google.com/?cid=8729303417053206939,1484103068794001,Amish Market
http://maps.google.com/?cid=2061924074063800450,1489886104106001,Georgetown University
http://maps.google.com/?cid=4482114850485686360,1487514251609001,FLIP FLOPS ATLANTA
http://maps.google.com/?cid=8982715097044514506,1482937620612001,Jacques Torres Chocolate
http://maps.google.com/?cid=10642384673553397287,1492290797909001,City Hall Park
http://maps.google.com/?cid=9815507392583986184,1498438577538001,Sheep Meadow
http://maps.google.com/?cid=17832880844757622492,1487374007839001,Hampton Inn &amp; Suites
http://maps.google.com/?cid=5134776318379173873,1489345485001001,Victory Sweet Shop Ltd/Victory Garden Cafe
http://maps.google.com/?cid=17416950155264461174,1486613521326001,Dave &amp; Buster&#39;s
http://maps.google.com/?cid=15791927748256334511,1477919182691001,Macy&#39;s
http://maps.google.com/?cid=6549812441364200651,1485818127426001,Tropicana Atlantic City
